epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.14356,1.93233,2.23548,1.45876,0.77955,0.75862,0.79658,0.33019,2.01079,1.89897,1.45514,0.0003,0.0003,0.0003
2,9.43041,1.75711,0.9657,1.28066,0.82856,0.83142,0.8616,0.40858,1.74419,1.76699,1.31586,0.000616931,0.000616931,0.000616931
3,13.6745,1.7212,0.94608,1.27724,0.75198,0.75507,0.76295,0.36428,1.71217,1.43844,1.30565,0.000930694,0.000930694,0.000930694
4,17.7629,1.69046,0.86683,1.25773,0.71767,0.73946,0.75296,0.33445,1.82111,1.21679,1.355,0.00124129,0.00124129,0.00124129
5,21.8597,1.68184,0.84375,1.27105,0.23274,0.28736,0.17367,0.08202,1.95062,2.60605,1.47269,0.00154872,0.00154872,0.00154872
6,25.915,1.62517,0.80412,1.2206,0.67291,0.4636,0.52369,0.1962,2.25953,1.57755,1.48684,0.00185297,0.00185297,0.00185297
7,30.242,1.60423,0.78526,1.21448,0.67615,0.52107,0.61798,0.26756,1.93794,1.23208,1.41745,0.0019406,0.0019406,0.0019406
8,34.2613,1.63523,0.79487,1.23798,0.13734,0.27586,0.06557,0.02793,2.37393,4.4203,1.95049,0.0019307,0.0019307,0.0019307
9,38.2109,1.59423,0.78129,1.21773,0.81941,0.74757,0.78718,0.39188,1.70023,0.99344,1.34051,0.0019208,0.0019208,0.0019208
10,42.2436,1.58697,0.76093,1.21921,0.80233,0.80843,0.86834,0.43993,1.67461,0.9136,1.29052,0.0019109,0.0019109,0.0019109
11,46.3507,1.5978,0.74246,1.22197,0.80975,0.83167,0.8729,0.42486,1.75949,0.8987,1.31423,0.001901,0.001901,0.001901
12,50.323,1.58021,0.74832,1.2111,0.84436,0.87297,0.90328,0.44525,1.70908,0.83532,1.31698,0.0018911,0.0018911,0.0018911
13,54.415,1.52473,0.71321,1.18968,0.82559,0.85057,0.89627,0.46629,1.64625,0.77542,1.27403,0.0018812,0.0018812,0.0018812
14,58.548,1.5192,0.70801,1.19086,0.82728,0.8625,0.89379,0.46409,1.64776,0.79939,1.27287,0.0018713,0.0018713,0.0018713
15,62.5891,1.5044,0.69256,1.18499,0.84806,0.81226,0.87284,0.42041,1.74769,0.87426,1.34662,0.0018614,0.0018614,0.0018614
16,66.7121,1.52865,0.69519,1.18327,0.84812,0.84674,0.90026,0.42757,1.7832,0.82874,1.33978,0.0018515,0.0018515,0.0018515
17,70.7521,1.48749,0.69414,1.16553,0.83948,0.88166,0.90049,0.4185,1.82355,0.78683,1.34471,0.0018416,0.0018416,0.0018416
18,74.7498,1.4767,0.69248,1.17563,0.86186,0.86053,0.8967,0.42842,1.74575,0.76499,1.33627,0.0018317,0.0018317,0.0018317
19,78.7366,1.47351,0.68021,1.15823,0.85551,0.81665,0.88694,0.44615,1.67773,0.76448,1.27727,0.0018218,0.0018218,0.0018218
20,82.7542,1.48016,0.67172,1.16962,0.87762,0.79681,0.89994,0.44842,1.72447,0.76524,1.30427,0.0018119,0.0018119,0.0018119
21,86.8548,1.53023,0.69059,1.19144,0.86944,0.84198,0.88097,0.44523,1.74182,0.73126,1.32018,0.001802,0.001802,0.001802
22,90.8921,1.47829,0.68248,1.178,0.85142,0.88506,0.92461,0.47661,1.63636,0.70062,1.27993,0.0017921,0.0017921,0.0017921
23,95.0898,1.4843,0.66927,1.16897,0.8584,0.8826,0.90949,0.47912,1.62983,0.72635,1.25883,0.0017822,0.0017822,0.0017822
24,99.1885,1.4614,0.66729,1.16487,0.85146,0.87847,0.90154,0.48804,1.60628,0.71386,1.25675,0.0017723,0.0017723,0.0017723
25,103.24,1.4116,0.65267,1.13552,0.88007,0.87158,0.90097,0.47639,1.62965,0.72516,1.25475,0.0017624,0.0017624,0.0017624
26,107.264,1.46779,0.65219,1.13711,0.85283,0.87739,0.91232,0.48484,1.61957,0.70987,1.2572,0.0017525,0.0017525,0.0017525
27,111.302,1.42133,0.64409,1.14154,0.85999,0.87074,0.91756,0.4809,1.61058,0.75423,1.24299,0.0017426,0.0017426,0.0017426
28,115.265,1.42142,0.65061,1.15581,0.8722,0.8659,0.92495,0.48772,1.64727,0.69724,1.26268,0.0017327,0.0017327,0.0017327
29,119.309,1.38365,0.62543,1.12798,0.88987,0.83588,0.91633,0.47406,1.64803,0.72842,1.25343,0.0017228,0.0017228,0.0017228
30,123.342,1.39737,0.63957,1.14118,0.89123,0.82759,0.91707,0.48514,1.63132,0.72451,1.2492,0.0017129,0.0017129,0.0017129
31,127.496,1.39452,0.63456,1.13135,0.82077,0.85974,0.90793,0.48131,1.63253,0.7134,1.2498,0.001703,0.001703,0.001703
32,131.479,1.3818,0.62642,1.12873,0.89755,0.83525,0.91356,0.48866,1.61791,0.708,1.25121,0.0016931,0.0016931,0.0016931
33,135.477,1.3612,0.61766,1.11319,0.91799,0.83525,0.92619,0.47934,1.6309,0.69834,1.26058,0.0016832,0.0016832,0.0016832
34,139.512,1.35365,0.61004,1.12215,0.89837,0.84667,0.90561,0.47228,1.69648,0.72298,1.29211,0.0016733,0.0016733,0.0016733
35,143.572,1.41433,0.63072,1.13236,0.8714,0.85824,0.90799,0.46546,1.65456,0.69762,1.27487,0.0016634,0.0016634,0.0016634
36,147.627,1.34956,0.60666,1.11407,0.88586,0.83908,0.91677,0.46526,1.68589,0.67887,1.28527,0.0016535,0.0016535,0.0016535
37,151.652,1.36103,0.61272,1.11727,0.83858,0.87579,0.91212,0.46604,1.71421,0.69982,1.29023,0.0016436,0.0016436,0.0016436
38,155.698,1.34013,0.61217,1.10645,0.87665,0.83525,0.90849,0.47701,1.60161,0.68973,1.24605,0.0016337,0.0016337,0.0016337
39,159.755,1.31089,0.59738,1.08394,0.91255,0.7931,0.90477,0.4786,1.63957,0.68545,1.24835,0.0016238,0.0016238,0.0016238
40,163.786,1.30197,0.59534,1.0893,0.87955,0.82759,0.92693,0.50406,1.59496,0.6601,1.22717,0.0016139,0.0016139,0.0016139
41,167.949,1.29273,0.58381,1.09234,0.89508,0.83142,0.92279,0.48732,1.63963,0.6661,1.26487,0.001604,0.001604,0.001604
42,171.981,1.29524,0.57487,1.08332,0.89558,0.84291,0.92305,0.48438,1.6694,0.67633,1.28609,0.0015941,0.0015941,0.0015941
43,176.003,1.29059,0.57894,1.07437,0.88206,0.85963,0.91465,0.48276,1.70021,0.67408,1.27792,0.0015842,0.0015842,0.0015842
44,180.024,1.26869,0.58403,1.0838,0.86494,0.85441,0.9151,0.49449,1.65849,0.67964,1.26293,0.0015743,0.0015743,0.0015743
45,184.028,1.29175,0.57686,1.10072,0.90764,0.85441,0.92695,0.49119,1.62428,0.6751,1.25406,0.0015644,0.0015644,0.0015644
46,188.068,1.29298,0.58463,1.08706,0.86233,0.88796,0.91851,0.48175,1.63874,0.68538,1.26566,0.0015545,0.0015545,0.0015545
47,192.149,1.27595,0.5726,1.08477,0.87788,0.85441,0.91254,0.47014,1.63874,0.71174,1.26062,0.0015446,0.0015446,0.0015446
48,196.21,1.25182,0.56442,1.06135,0.87881,0.86126,0.92005,0.49688,1.58819,0.66528,1.24787,0.0015347,0.0015347,0.0015347
49,200.233,1.28068,0.56846,1.08616,0.87312,0.87356,0.91889,0.4913,1.5975,0.66271,1.23959,0.0015248,0.0015248,0.0015248
50,204.251,1.27556,0.56908,1.06692,0.88359,0.86207,0.92356,0.48578,1.64842,0.66838,1.26347,0.0015149,0.0015149,0.0015149
51,208.239,1.26704,0.56227,1.07515,0.88907,0.85979,0.92774,0.50664,1.60982,0.64997,1.2433,0.001505,0.001505,0.001505
52,212.335,1.29748,0.57617,1.07224,0.8963,0.85441,0.92632,0.47321,1.64423,0.68086,1.27484,0.0014951,0.0014951,0.0014951
53,216.278,1.22024,0.55173,1.06031,0.87649,0.87005,0.91916,0.48852,1.60947,0.67669,1.24902,0.0014852,0.0014852,0.0014852
